ExternalId,Name,ParentExternalId,DataSource,Buyable
140000,Careers & Employment,,Datonics,TRUE
150000,Education,,Datonics,TRUE
150100,College & Admissions,150000,Datonics,TRUE
150400,Financial Aid & Scholarships,150000,Datonics,TRUE
150800,Online Courses,150000,Datonics,TRUE
151000,Learning Disabilities,150000,Datonics,TRUE
151100,Preschools,150000,Datonics,TRUE
151200,Elementary & Middle School,150000,Datonics,TRUE
151300,High School,150000,Datonics,TRUE
160000,Electronics,,Datonics,TRUE
160100,Cameras,160000,Datonics,TRUE
160200,Computers,160000,Datonics,TRUE
160202,Desktops,160200,Datonics,TRUE
160203,Laptops,160200,Datonics,TRUE
160205,Tablets,160200,Datonics,TRUE
160206,Netbooks,160200,Datonics,TRUE
160240,Apple Computers,160200,Datonics,TRUE
160241,Apple Desktops,160200,Datonics,TRUE
160242,Apple Laptops,160200,Datonics,TRUE
160300,Gaming & Video Games,160000,Datonics,TRUE
160301,Computer Games,160300,Datonics,TRUE
160303,GameCube,160300,Datonics,TRUE
160305,Nintendo,160300,Datonics,TRUE
160306,Online Games,160300,Datonics,TRUE
160307,Playstation,160300,Datonics,TRUE
160308,PSP,160300,Datonics,TRUE
160310,Xbox,160300,Datonics,TRUE
160311,Wii,160300,Datonics,TRUE
160315,Hardcore Gamers,160300,Datonics,TRUE
160400,Handhelds & Navigation,160000,Datonics,TRUE
160401,GPS,160400,Datonics,TRUE
160402,Palmtops & PDA's,160400,Datonics,TRUE
160500,Home Electronics,160000,Datonics,TRUE
160501,CD Players,160500,Datonics,TRUE
160502,Dishwashers,160500,Datonics,TRUE
160503,Home Cinema,160500,Datonics,TRUE
160504,Refrigerator,160500,Datonics,TRUE
160505,Audio,160500,Datonics,TRUE
160506,TV's & HDTV's,160500,Datonics,TRUE
160507,VCR & DVD,160500,Datonics,TRUE
160508,Washing Machines & Dryers,160500,Datonics,TRUE
160509,Women Electronics,160500,Datonics,TRUE
160510,Coffee Machines,160500,Datonics,TRUE
160511,Vacuum Cleaners,160500,Datonics,TRUE
160600,Entertainment,160000,Datonics,TRUE
160601,Ipod,160600,Datonics,TRUE
160602,MP Players,160600,Datonics,TRUE
170000,Finance & Money,,Datonics,TRUE
170200,Credit & Credit Cards,170000,Datonics,TRUE
170400,Mortgage,170000,Datonics,TRUE
170500,Insurance,170000,Datonics,TRUE
170501,Car & Motorcycle Insurance,170500,Datonics,TRUE
170502,Home Insurance,170500,Datonics,TRUE
170503,Life Insurance,170500,Datonics,TRUE
170504,Health Insurance,170500,Datonics,TRUE
171000,Credit Cards  ,170000,Datonics,TRUE
171001,Prepaid Credit Cards ,171001,Datonics,TRUE
171100,Trade ,170000,Datonics,TRUE
171101,"Investments, Stocks, Bonds & funds ",171100,Datonics,TRUE
171102,Forex ,171100,Datonics,TRUE
171200,Loans ,170000,Datonics,TRUE
171201,Mortgage Loan ,171200,Datonics,TRUE
171202,Equity Loan ,171200,Datonics,TRUE
171203,Refinance Loan ,171200,Datonics,TRUE
171204,Auto Loan ,171200,Datonics,TRUE
171205,Personal Loan ,171200,Datonics,TRUE
171206,Student Loans ,171200,Datonics,TRUE
171300,Financial Services ,170000,Datonics,TRUE
